system:index,clay_0_5,clay_100_200,clay_15_30,clay_30_60,clay_5_15,clay_60_100,om_0_5,om_100_200,om_15_30,om_30_60,om_5_15,om_60_100,ph_0_5,ph_100_200,ph_15_30,ph_30_60,ph_5_15,ph_60_100,sand_0_5,sand_100_200,sand_15_30,sand_30_60,sand_5_15,sand_60_100,silt_0_5,silt_100_200,silt_15_30,silt_30_60,silt_5_15,silt_60_100,.geo
0,21.940117,26.222115,27.889814,30.325537,23.351995,27.84702,0.33000487,-0.6338867,0.1395259,-0.080912195,0.28452194,-0.31225586,6.7677307,8.0438385,7.0517263,7.548564,6.8235145,7.988528,32.50293,26.91683,28.144249,24.967253,31.673998,24.463902,41.885895,45.050243,40.055336,41.67916,41.589127,45.163086,"{""type"":""Point"",""coordinates"":[-102.88493969467835,47.74356815221805]}"
1,20.240488,20.538124,22.956585,22.849268,21.329102,21.963938,0.33727765,-0.6537512,0.1379452,-0.1088612,0.28246826,-0.40687317,7.04175,7.997062,7.3301325,7.7950344,7.1223755,8.069329,39.47461,36.888454,35.609802,32.884766,38.612305,34.860703,37.98781,41.883186,36.38368,38.834633,37.02446,39.46866,"{""type"":""Point"",""coordinates"":[-102.7631438916604,47.780998201966206]}"
2,21.49317,23.819962,25.790165,28.447216,22.361866,25.06,0.36163735,-0.65935254,0.14404391,-0.07142578,0.29415125,-0.37774414,6.698212,7.9516015,7.0604124,7.5384774,6.7922792,7.946502,36.60547,32.708046,31.699806,29.785994,34.722332,29.85122,38.855885,40.88086,37.295097,39.12697,39.269913,41.828766,"{""type"":""Point"",""coordinates"":[-102.92504448973564,47.853441284988186]}"
3,17.423529,16.043053,18.447266,19.060116,17.75536,17.552786,0.37383562,-0.64801466,0.20449317,-0.028255127,0.33705482,-0.2933382,6.7050033,7.904576,6.897097,7.245699,6.759571,7.7515926,42.345776,53.06778,42.33235,39.461914,41.401367,48.900978,38.460785,27.2818,36.55371,37.048042,37.610672,28.807846,"{""type"":""Point"",""coordinates"":[-102.85865369872327,47.780645509519594]}"
4,18.851273,17.929543,21.19608,22.023438,19.567514,21.198925,0.34113657,-0.662729,0.16054042,-0.050493643,0.29046875,-0.35398138,6.6419377,8.006316,6.873028,7.3974147,6.6938515,7.895629,44.583984,47.120117,42.992203,42.344948,44.014145,43.13503,33.41185,30.241684,31.84082,32.243916,32.582924,32.114105,"{""type"":""Point"",""coordinates"":[-102.79188339674079,47.7234601170834]}"
5,20.388561,14.326002,18.634373,16.850243,19.595798,14.87561,0.13878536,-1.1468182,-0.31811893,-0.5379101,0.017509772,-0.7449511,7.13591,7.7189207,7.569548,7.720088,7.2990255,7.7154746,45.215675,49.677734,42.852192,41.713448,44.552788,47.38889,31.855122,27.956585,34.59951,35.415123,32.525368,31.181952,"{""type"":""Point"",""coordinates"":[-102.88060630441005,47.711507492334675]}"
6,20.773706,15.233658,19.036657,17.742188,20.500977,15.758789,0.21766862,-1.0872461,-0.33352685,-0.49443358,0.08176099,-0.69827807,7.1874747,7.662074,7.6782074,7.7701526,7.393276,7.7033334,38.731373,47.45996,38.10588,36.078278,39.24266,42.777615,37.85742,26.445366,40.245846,38.881233,38.741447,31.471622,"{""type"":""Point"",""coordinates"":[-102.79698322467154,47.74950072823134]}"
7,20.25879,24.835608,23.587719,23.418049,24.035156,26.189085,1.2245312,-0.22933595,-0.07798828,-0.15666993,0.4734195,-0.0516959,6.572118,8.382951,7.119318,7.604625,6.798322,8.016565,21.195992,29.85777,30.411938,31.404202,29.949755,29.071568,57.15983,43.212746,44.3728,43.213306,44.212334,42.15069,"{""type"":""Point"",""coordinates"":[-102.76253083628391,47.74597828671266]}"
8,22.713242,24.011719,28.09961,30.748531,23.982456,26.37926,0.3432192,-0.6542405,0.17398438,-0.023642574,0.29991692,-0.26038533,6.67618,8.02132,6.9291124,7.4273634,6.7298164,7.9526796,30.91478,30.673872,26.289217,24.72439,29.717773,27.307844,41.58227,41.308636,38.991173,39.67417,40.19745,42.256836,"{""type"":""Point"",""coordinates"":[-102.90203715316927,47.79419867481815]}"
9,20.87756,22.472576,24.99561,25.44907,22.13353,24.928572,0.36573243,-0.69328773,0.13488281,-0.09435484,0.3018164,-0.3508789,6.949801,8.033918,7.2722015,7.7200117,7.0651793,8.050671,34.41855,30.951078,30.755112,29.706055,33.062927,30.439453,40.829758,40.84314,38.846718,41.311764,40.833008,42.35392,"{""type"":""Point"",""coordinates"":[-102.89671068086014,47.75806272078807]}"
